"Date","Price","Open","High","Low","Vol.","Change %"
"17-04-2022","2,373.00","2,251.00","2,251.00","2,251.00","","7.77%"
"10-04-2022","2,202.00","2,203.00","2,203.00","2,203.00","","-0.63%"
"03-04-2022","2,216.00","2,217.00","2,217.00","2,217.00","","-1.73%"
"27-03-2022","2,255.00","2,331.00","2,331.00","2,256.00","","-2.25%"
"20-03-2022","2,307.00","2,258.00","2,258.00","2,258.00","","2.12%"
"13-03-2022","2,259.00","2,351.00","2,351.00","2,351.00","","-3.95%"
"06-03-2022","2,352.00","2,303.00","2,303.00","2,303.00","","6.14%"
"27-02-2022","2,216.00","2,124.00","2,124.00","2,124.00","","4.78%"
"20-02-2022","2,115.00","2,112.00","2,112.00","2,112.00","","-0.47%"
"13-02-2022","2,125.00","2,136.00","2,136.00","2,136.00","","-1.25%"
"06-02-2022","2,152.00","2,143.00","2,143.00","2,143.00","","0.37%"
"30-01-2022","2,144.00","2,125.00","2,125.00","2,125.00","","0.89%"
"23-01-2022","2,125.00","2,121.00","2,121.00","2,121.00","","-1.02%"
"16-01-2022","2,147.00","2,116.00","2,116.00","2,116.00","","2.14%"
"09-01-2022","2,102.00","2,133.00","2,133.00","2,133.00","","-0.05%"
"02-01-2022","2,103.00","2,104.00","2,104.00","2,104.00","","-0.10%"
"26-12-2021","2,105.00","2,106.00","2,106.00","2,106.00","","-0.09%"
"19-12-2021","2,107.00","2,100.00","2,100.00","2,100.00","","-0.24%"
"12-12-2021","2,112.00","2,133.00","2,133.00","2,133.00","","-1.03%"
"05-12-2021","2,134.00","2,138.00","2,138.00","2,138.00","","-0.47%"
"28-11-2021","2,144.00","2,140.00","2,140.00","2,140.00","","1.23%"
"21-11-2021","2,118.00","2,131.00","2,131.00","2,131.00","","-0.66%"
"14-11-2021","2,132.00","2,133.00","2,133.00","2,133.00","","-0.33%"
"07-11-2021","2,139.00","2,120.00","2,120.00","2,120.00","","0.61%"
"31-10-2021","2,126.00","2,127.00","2,127.00","2,127.00","","0.00%"
"24-10-2021","2,126.00","2,115.00","2,115.00","2,115.00","","0.81%"
"17-10-2021","2,109.00","2,109.00","2,109.00","2,109.00","","0.33%"
"10-10-2021","2,102.00","2,102.00","2,102.00","2,102.00","","1.45%"
"03-10-2021","2,072.00","2,063.00","2,063.00","2,063.00","","2.47%"
"26-09-2021","2,022.00","2,022.00","2,022.00","2,022.00","","0.65%"
"19-09-2021","2,009.00","2,024.00","2,024.00","2,024.00","","0.15%"
"12-09-2021","2,006.00","2,014.00","2,014.00","2,014.00","","-1.23%"
"05-09-2021","2,031.00","2,013.00","2,013.00","2,013.00","","3.25%"
"29-08-2021","1,967.00","1,990.00","1,990.00","1,990.00","","-0.20%"
"22-08-2021","1,971.00","1,934.00","1,934.00","1,934.00","","4.01%"
"15-08-2021","1,895.00","1,887.00","1,887.00","1,887.00","","-0.26%"
"08-08-2021","1,900.00","1,907.00","1,907.00","1,907.00","","-0.16%"
"01-08-2021","1,903.00","1,905.00","1,905.00","1,905.00","","3.93%"
"25-07-2021","1,831.00","1,778.00","1,778.00","1,778.00","","2.98%"
"18-07-2021","1,778.00","1,868.00","1,868.00","1,868.00","","0.00%"
"11-07-2021","1,778.00","1,778.00","1,778.00","1,778.00","","0.00%"
"04-07-2021","1,778.00","1,775.00","1,780.00","1,775.00","0.23K","2.83%"
"27-06-2021","1,729.00","1,729.00","1,729.00","1,729.00","","0.00%"
"20-06-2021","1,729.00","1,725.00","1,730.00","1,725.00","0.25K","-1.03%"
"13-06-2021","1,747.00","1,688.00","1,755.00","1,688.00","0.03K","0.40%"
"06-06-2021","1,740.00","1,793.00","1,793.00","1,740.00","0.02K","-2.96%"
"30-05-2021","1,793.00","1,847.00","1,847.00","1,793.00","0.02K","-2.61%"
"23-05-2021","1,841.00","1,846.00","1,847.00","1,828.00","0.03K","-1.07%"
"16-05-2021","1,861.00","1,899.00","1,899.00","1,899.00","","-2.00%"
"09-05-2021","1,899.00","1,900.00","1,900.00","1,900.00","","-0.05%"
"02-05-2021","1,900.00","1,901.00","1,901.00","1,901.00","","0.16%"
"25-04-2021","1,897.00","1,897.00","1,897.00","1,897.00","","-1.25%"
"18-04-2021","1,921.00","1,915.00","1,915.00","1,915.00","","1.05%"
"11-04-2021","1,901.00","1,841.00","1,841.00","1,841.00","","3.26%"
"04-04-2021","1,841.00","1,841.00","1,841.00","1,841.00","0.01K","-0.59%"
"28-03-2021","1,852.00","1,852.00","1,852.00","1,852.00","0.01K","-0.70%"
"21-03-2021","1,865.00","1,851.00","1,865.00","1,851.00","0.26K","2.64%"
"14-03-2021","1,817.00","1,809.00","1,809.00","1,809.00","","0.83%"
"07-03-2021","1,802.00","1,795.00","1,795.00","1,795.00","","-0.83%"
"28-02-2021","1,817.00","1,804.00","1,804.00","1,804.00","","1.11%"
"21-02-2021","1,797.00","1,807.00","1,807.00","1,807.00","","-0.28%"
"14-02-2021","1,802.00","1,783.00","1,783.00","1,783.00","","0.39%"
"07-02-2021","1,795.00","1,817.00","1,817.00","1,817.00","","-0.99%"
"31-01-2021","1,813.00","1,833.00","1,833.00","1,833.00","","-0.33%"
"24-01-2021","1,819.00","1,839.00","1,839.00","1,839.00","","-1.68%"
"17-01-2021","1,850.00","1,864.00","1,864.00","1,864.00","","-0.05%"
"10-01-2021","1,851.00","1,827.00","1,827.00","1,827.00","","1.54%"
"03-01-2021","1,823.00","1,789.00","1,789.00","1,789.00","","3.93%"
"27-12-2020","1,754.00","1,744.00","1,744.00","1,744.00","","1.21%"
"20-12-2020","1,733.00","1,722.00","1,722.00","1,722.00","","0.46%"
"13-12-2020","1,725.00","1,733.00","1,733.00","1,733.00","","-0.46%"
"06-12-2020","1,733.00","1,741.00","1,741.00","1,741.00","","-0.35%"
"29-11-2020","1,739.00","1,761.00","1,761.00","1,761.00","","-1.86%"
"22-11-2020","1,772.00","1,770.00","1,770.00","1,770.00","","0.51%"
"15-11-2020","1,763.00","1,772.00","1,772.00","1,772.00","","-0.56%"
"08-11-2020","1,773.00","1,769.00","1,769.00","1,769.00","","0.28%"
"01-11-2020","1,768.00","1,781.00","1,781.00","1,781.00","","-0.45%"
"25-10-2020","1,776.00","1,774.00","1,774.00","1,774.00","","0.17%"
"18-10-2020","1,773.00","1,745.00","1,745.00","1,745.00","","1.90%"
"11-10-2020","1,740.00","1,718.00","1,718.00","1,718.00","","0.87%"
"04-10-2020","1,725.00","1,733.00","1,733.00","1,733.00","","0.00%"
"27-09-2020","1,725.00","1,738.00","1,738.00","1,738.00","","-0.69%"
"20-09-2020","1,737.00","1,756.00","1,756.00","1,756.00","","-0.74%"
"13-09-2020","1,750.00","1,748.00","1,748.00","1,748.00","","-0.51%"
"06-09-2020","1,759.00","1,768.00","1,768.00","1,768.00","","-0.45%"
"30-08-2020","1,767.00","1,777.00","1,777.00","1,777.00","","-0.39%"
"23-08-2020","1,774.00","1,802.00","1,802.00","1,802.00","","-1.61%"
"16-08-2020","1,803.00","1,801.00","1,801.00","1,801.00","","-1.74%"
"09-08-2020","1,835.00","1,845.00","1,845.00","1,845.00","","-0.16%"
"02-08-2020","1,838.00","1,839.00","1,839.00","1,839.00","","-0.05%"
"26-07-2020","1,839.00","1,851.00","1,851.00","1,851.00","","-0.54%"
"19-07-2020","1,849.00","1,880.00","1,880.00","1,880.00","","-1.28%"
"12-07-2020","1,873.00","1,886.00","1,886.00","1,886.00","","-1.27%"
"05-07-2020","1,897.00","1,890.00","1,890.00","1,890.00","","0.16%"
"28-06-2020","1,894.00","1,905.00","1,905.00","1,905.00","","-0.58%"
"21-06-2020","1,905.00","1,903.00","1,903.00","1,903.00","","0.95%"
"14-06-2020","1,887.00","1,872.00","1,872.00","1,872.00","","0.64%"
"07-06-2020","1,875.00","1,885.00","1,885.00","1,885.00","","-0.58%"
"31-05-2020","1,886.00","1,901.00","1,901.00","1,901.00","","0.11%"
"24-05-2020","1,884.00","1,889.00","1,889.00","1,889.00","","-0.79%"
"17-05-2020","1,899.00","1,893.00","1,893.00","1,893.00","","1.17%"
"10-05-2020","1,877.00","1,923.00","1,923.00","1,923.00","","-2.44%"
"03-05-2020","1,924.00","1,925.00","1,925.00","1,925.00","","-1.03%"
"26-04-2020","1,944.00","1,891.00","1,891.00","1,891.00","","3.96%"
"19-04-2020","1,870.00","1,800.00","1,800.00","1,800.00","0.01K","0.81%"
"12-04-2020","1,855.00","1,855.00","1,855.00","1,855.00","","0.00%"
"05-04-2020","1,855.00","1,855.00","1,855.00","1,855.00","","0.00%"
"29-03-2020","1,855.00","1,855.00","1,855.00","1,855.00","","0.00%"
"22-03-2020","1,855.00","1,855.00","1,855.00","1,855.00","","-7.25%"
"15-03-2020","2,000.00","2,007.00","2,007.00","2,007.00","","0.00%"
"08-03-2020","2,000.00","2,031.00","2,031.00","2,000.00","0.02K","-4.76%"
"23-02-2020","2,100.00","2,150.00","2,150.00","2,100.00","0.05K","-4.81%"
"16-02-2020","2,206.00","2,201.00","2,210.00","2,201.00","0.02K","6.31%"
"19-01-2020","2,075.00","2,249.00","2,249.00","2,073.00","0.05K","-8.06%"
"12-01-2020","2,257.00","2,290.00","2,290.00","2,260.00","0.03K","-0.31%"
"29-12-2019","2,264.00","2,200.00","2,230.00","2,200.00","0.04K","4.96%"
"17-11-2019","2,157.00","2,175.00","2,175.00","2,175.00","0.10K","-0.78%"
"10-11-2019","2,174.00","2,155.00","2,190.00","2,100.00","0.76K","1.83%"
"03-11-2019","2,135.00","2,140.00","2,173.00","2,140.00","0.49K","0.19%"
"27-10-2019","2,131.00","2,151.00","2,151.00","2,131.00","0.21K","-0.93%"
"20-10-2019","2,151.00","2,151.00","2,171.00","2,131.00","0.15K","-0.88%"
"13-10-2019","2,170.00","2,120.00","2,170.00","2,110.00","","3.68%"
"06-10-2019","2,093.00","2,085.00","2,114.00","2,075.00","1.60K","0.34%"
"29-09-2019","2,086.00","2,020.00","2,095.00","2,020.00","0.52K","0.24%"
"22-09-2019","2,081.00","2,066.00","2,090.00","2,066.00","0.26K","0.43%"
"15-09-2019","2,072.00","2,051.00","2,085.00","2,051.00","","1.62%"
"08-09-2019","2,039.00","2,015.00","2,041.00","2,000.00","2.85K","0.84%"
"01-09-2019","2,022.00","2,056.00","2,056.00","2,015.00","2.82K","-1.94%"
"25-08-2019","2,062.00","2,081.00","2,090.00","2,056.00","1.35K","-0.87%"
"18-08-2019","2,080.00","2,080.00","2,095.00","2,075.00","0.52K","0.00%"
"11-08-2019","2,080.00","2,050.00","2,080.00","2,045.00","0.58K","1.56%"
"04-08-2019","2,048.00","2,084.00","2,084.00","2,022.00","4.94K","-1.21%"
"28-07-2019","2,073.00","2,073.00","2,084.00","2,066.00","2.62K","-0.10%"
"21-07-2019","2,075.00","2,082.00","2,085.00","2,062.00","4.37K","0.44%"
"14-07-2019","2,066.00","2,005.00","2,090.00","2,005.00","0.34K","5.14%"
"07-07-2019","1,965.00","1,965.00","1,975.00","1,932.00","8.36K","-0.20%"
"30-06-2019","1,969.00","1,972.00","1,980.00","1,962.00","4.40K","-0.35%"
"23-06-2019","1,976.00","1,965.00","1,985.00","1,956.00","2.19K","0.15%"
"16-06-2019","1,973.00","1,935.00","1,974.00","1,931.00","2.07K","0.92%"
"09-06-2019","1,955.00","1,949.00","1,961.00","1,932.00","8.18K","-0.15%"
"02-06-2019","1,958.00","1,998.00","1,998.00","1,935.00","5.19K","-0.36%"
"26-05-2019","1,965.00","1,949.00","1,973.00","1,931.00","6.51K","0.77%"
"19-05-2019","1,950.00","1,980.00","2,011.00","1,945.00","9.91K","-1.27%"
"12-05-2019","1,975.00","1,955.00","2,010.00","1,955.00","3.60K","1.65%"
"05-05-2019","1,943.00","1,903.00","1,950.00","1,901.00","3.96K","2.21%"
"28-04-2019","1,901.00","1,910.00","1,910.00","1,877.00","10.87K","0.90%"
"21-04-2019","1,884.00","1,855.00","1,900.00","1,845.00","4.42K","1.73%"
"14-04-2019","1,852.00","1,825.00","1,859.00","1,820.00","0.48K","0.16%"
"07-04-2019","1,849.00","1,845.00","1,855.00","1,810.00","1.84K","0.33%"
"31-03-2019","1,843.00","1,770.00","1,854.00","1,770.00","1.26K","3.37%"
"24-03-2019","1,783.00","1,860.00","1,860.00","1,780.00","0.24K","-3.83%"
"17-03-2019","1,854.00","1,855.00","1,885.00","1,850.00","0.11K","-2.37%"
"10-03-2019","1,899.00","1,844.00","1,844.00","1,844.00","0.02K","2.98%"
"03-03-2019","1,844.00","1,900.00","1,928.00","1,844.00","0.07K","-2.69%"
